2	TOC Heading	مادران و دختران
391	Normal	سه سال تجربه مرا به این نتیجه رسانده که ما، مخصوصا طبقه‌ی پیش‌رو کشور در برابر ریشه‌های سفت و صلب انواع ستم‌هایی که بر زنان می‌رود کار خاصی نکرده‌ایم، در حدی که زنان قربانی مجبورند خود را سانسور کنند. پدیده‌های که زنان را از بازگو کردن روایت‌های تاریک افراد و گروه‌های نزدیک به خودش، باز می‌دارد، پهنا و عمق نامعلومی دارد؛ هنوز تصویر روشنی از آن خلق نشده زیرا زنان بی‌شماری، روایت‌های شان را با خود شان در دل قبرستان‌ها برده‌اند، اما از ترس پیامدهای افشا شدن، بازگو نکرده‌اند.
392	Normal	تولید ادبیات مستند، متمرکز بر زنان می‌تواند هم خودسانسوری زنان را بشکند و هم عمق فاجعه‌ را بازنمایی کند و درست به همین دلیل مهم است؛ چنین ادبیاتی در واقع یک «نه» بلند و باشکوه در برابر تمام ساختارهای ستم در افغانستان است. هزینه‌‌ی تولید آن قطعاً بلند است و اگر روزی، چهره‌ای واقعی جامعه ما بر همگان در قالب ادبیات مستند نمایانده شود؛ یحتمل اتهام‌های ناروایی به تولیدکنندگان آن بسته می‌شود. با این حال، این هزینه‌ی بلند، ارزشمند است چون ما را از ستمی که برخود روا داشته‌ایم آگاه می‌کند، هرچندکه این آگاهی تلخ و ناشاد خواهد بود.
395	Heading 2	شاه‌کار یا دروغ‌پردازی؟ گزارشی درباب حواشی، تاکتیک‌ها و درون‌مایه‌‌ی «تابوت‌های رویین»
396	Normal	م. کلانترپور
398	Caption	الکسیویچ در کابل در سال ۱۹۸۷. عکس از وب‌سایت نویسنده.
400	Normal	درآمد
401	Normal	در اواخر دهه ۱۹۸۰، انتشار گزیده‌هایی از کتاب جنجالی سوتلانا الکسیویچ درباره جنگ شوروی و افغانستان در نشریات شوروی، خشم کهنه‌سربازان را برانگیخت. الکسیویچ روایت می‌کند که زنی با فریاد پشت تلفن، اعتراض خود را چنین به گوش او رساند: «خوب گوش کن! از همه‌ی این چیزهای لعنتی خسته شده‌ام! چرا هر وقت درباره دخترانی که به افغانستان رفتند می‌نویسی، همیشه ما را هرزه جلوه می‌دهی؟». این زن معترض، اگرچه انکار نمی‌کرد که «معلوم است بعضی از آن‌ها فاحشه بودند»، اما با عصبانیت می‌پرسید چرا باید همه را با یک چوب راند. با این‌حال او از نویسنده می‌خواست تا رنج‌ پنهان آن‌ها را نیز ببیند: «کمی زحمت به خودت بده و درون ما را هم ببین تا روح‌های آزرده را هم دریابی!» [FOOTNOTE].
402	Normal	این روایتِ دراماتیک، نقطه‌ی عزیمت جفری جونز برای واکاوی سه برساختِ متفاوت از زنان در جنگ شوروی و افغانستان است. جونز، استاد مطالعات تاریخ روسیه و جهان در دانشگاه کارولینای شمالی و نویسنده‌ی کتاب تازه منتشر شده‌ی «دود، آیینه‌ها و خاطره‌ها: میراث جنگ شوروی در افغانستان»[FOOTNOTE] (انتشارات دانشگاه تورنتو)، با نگاهی مستند به بررسی روایت‌های پیرامون این جنگ پرداخته است. به باور او، زنی که تلفنی بر الکسیویچ فریاد می‌کشید، یک کهنه‌سرباز و بازتابی عینی از دوگانه‌ی «مادر ـ هرزه» است که الکسیویچ در کتاب خود ترسیم کرده است.
403	Normal	اثر مورد بحث که عنوان آن مستقیماً به تابوت‌های رویینِ[FOOTNOTE] حامل سربازان جان‌باخته اشاره دارد، نخستین بار در سال ۱۹۹۰ به زبان روسی و دو سال بعد با عنوان انگلیسی Zinky Boys به چاپ رسید. اهمیت و شورِ این روایت‌ها باعث شد تا کتاب به سرعت به زبان‌های مختلف، از جمله فارسی ترجمه شود. این اثر در افغانستان تحت عنوان «تابوت‌های رویین» با ترجمه‌ی حضرت وهریز از سوی نشر زریاب و در ایران توسط ناشران معتبری چون نگاه و چشمه با عناوین «پسران رویین» و «پسرانی از جنس روی» -با ترجمه‌های عبدالمجید احمدی و ابوالفضل الله‌دادی- نشر شده‌است. [FOOTNOTE]
404	Normal	از «وظیفه‌ی بین‌المللی» تا «زخمی خون‌چکان»
405	Normal	برای درک عمق فاجعه‌ای که «تابوت‌های رویین» به تصویر می‌کشد، باید به تاریخ نگاهی کرد. جنگی که مقامات شوروی با نام پر طمطراق «وظیفه‌ی بین‌المللی» و با ادعای «کمک به رفقای افغان» آغاز کردند، از دسامبر ۱۹۷۹ تا فوریه ۱۹۸۹ به طول انجامید. اما این یک دهه جنگ، تنها یک نبرد نظامی نبود؛ بلکه پُلی بود میان دوران «رکود» برژنف و دوران «اصلاحات» گورباچف.
406	Normal	درست همینجاست که اهمیت تاریخی کتاب الکسیویچ مشخص می‌شود. انتشار این اثر به صورت پاورقی در سال ۱۹۸۹، دقیقاً با فضای باز سیاسی (گلاسنوست)[FOOTNOTE] و اعتراف تکان‌دهنده‌ی رهبر شوروی هم‌زمان شد که جنگ افغانستان را «زخمی خون‌چکان» نامیده بود. الکسیویچ در این نقطه‌ی عطف تاریخی، تریبون را به کسانی داد که مستقیماً بیشترین آسیب را از جنگ دیده بودند.
407	Normal	اما آیا جنگ شوروی را زمین زد؟ گزارش‌های تاریخی در این باره اختلاف‌نظر دارند. در حالی که تحلیل‌گرانی مانند نانسی ریس معتقدند فروپاشی شوروی بیشتر محصول فقر و زوال اجتماعی بود و جنگ در گفتمانِ دوران پرسترویکا (اصلاحات اقتصادی) جایی نداشت، جفری جونز نظر متفاوتی دارد. او استدلال می‌کند که سرخوردگی ناشی از جنگ افغانستان، که در لابه‌لای صفحات «تابوت‌های رویین» موج می‌زند، یکی از عوامل اصلی «از هم پاشیدگی شرایط گفتمانی» و سقوط نهایی اتحاد جماهیر شوروی بود. [FOOTNOTE]
408	Normal	پس‌زمینه‌ی «تابوت‌های رویین»
409	Normal	برای درک اینکه چرا «تابوت‌های رویین» چنین تحولی در افکار عمومی ایجاد کرد، باید به عقب؛ به سال‌های نخستین اشغال افغانستان برگشت. گزارش‌های تاریخی نشان می‌دهند که مقامات و دستگاه عظیم پروپاگاندای شوروی، سال‌ها با ارائه روایتی دروغین، جنگ را در هاله‌ای که مطلوب خودشان بود، پیچیده بودند.
410	Normal	رسانه‌های رسمی با سانسوری سنگین، هرگونه اشاره به خون‌ریزی و تلفات را حذف می‌کردند و در عوض، تصاویری از سربازان شوروی را نشان می‌دادند که در حال «کاشت درخت» یا «ساختن مکتب» برای مردم افغانستان هستند. در این روایت ساختگی، تجاوز نظامی، «تعهد بین‌المللی» نامیده می‌شد و سربازان جوان با رؤیای تکرار قهرمانی‌های جنگ جهانی دوم، یعنی جنگ بزرگ میهنی به جنگ فرستاده می‌شدند. همچنین به مردم چنین خورانده می‌شد که شوروی در حال حفاظت از مرزهای جنوبی خویش است.
411	Normal	عبدالقادر سینو که یکی از مهم‌ترین کتاب‌ها درباره جنگ افغانستان و شوروی را نوشته‌است، آورده که بر اساس منابع رسمی شوروی، تلفات سالانه‌ی سربازان شوروی در سال ۱۹۸۴ با ۲۳۴۳ کشته به اوج رسید. میزان تلفات در سال‌های بعد به‌ترتیب ۱۸۶۸ در ۱۹۸۵، ۱۳۳۳ در ۱۹۸۶، ۱۲۱۵ در ۱۹۸۷، ۷۵۹ در ۱۹۸۸ و ۵۳ در ۱۹۸۹ بود. بسیاری از آثاری که عملیات نظامی در افغانستان را شرح می‌دهند، همچنین به افزایش فعالیت نظامی شوروی پس از روی کار آمدن گورباچف در سال‌های ۱۹۸۵–۸۶ اشاره کرده‌اند. «منابع جدید -ستاد کل ارتش روسیه- آنچه را ناظران باتجربه مدت‌ها حدس می‌زدند تأیید می‌کند: این‌که شوروی‌ها تنها بخشی از تلفات خود را گزارش می‌کردند، حدود نیمی از آن.» [FOOTNOTE]
412	Normal	اما این پنهان‌کاری سخت‌گیرانه دوام نیاورد. با روی کار آمدن میخائیل گورباچف در سال ۱۹۸۵ و آغاز دوران «گلاسنوست»، گنبد مینای دروغ فرو ریخت. رسانه‌های شوروی این امکان را یافتند تا دروغ‌های تاریخِ رسمی را برملا کنند، برای همین جنگ افغانستان به‌سرعت برای بررسی و نقد عمومی بر سر زبان‌ها افتاد. نقطه عطف ماجرا زمانی بود که گورباچف در سال ۱۹۸۶، جنگ افغانستان را با عبارتی صریح، «زخمی خون‌چکان» نامید [FOOTNOTE].
413	Normal	یک سال بعد، شوک نهایی با انتشار آمار رسمی تلفات، وارد شد: بیش از ۱۵ هزار کشته و ۵۳ هزار زخمی. این‌ها تنها عدد نبودند؛ بلکه سند رسوایی روایتی بود که سال‌ها به مردم دروغ گفته بود. این افشا زمانی صورت گرفت که سال قبل گورباچف همزمان با «زخم خون‌چکان» خواندن جنگ در افغانستان، گفته بود که در تاریخ شوروی باید «هیچ نامی فراموش نشود و هیچ نقطه‌ی تاریکی باقی نماند». برای همین نویسندگان و روزنامه‌نگاران توانستند این جنگ را به چالش بکشند. کاری که نتیجه‌ی آن سرخوردگی از جنگ شوروی و افغانستان بود. [FOOTNOTE]
414	Normal	کتاب الکسیویچ دقیقاً از دل همین دورانِ فروپاشی و تردید سر برآورد. او با ابداع سبک «رمان آواها» یا «مستند منثور»، صدها روایت و شهادت را گردآوری کرد تا صدایی باشد برای کسانی که برای سال‌ها مجبور به سکوت بودند.
415	Normal	عنوان کتاب، «پسران رویین»، استعاره‌ای تلخ و تکان‌دهنده است که به تابوت‌های سربسته‌ی فلزی (از جنس روی) اشاره دارد. منابع این نوشته آورده‌اند که مقامات شوروی این تابوت‌ها را نه فقط برای حمل اجساد، بلکه برای پنهان کردن «بوی تعفن»، «جراحت‌های هولناک» و «بدن‌های مثله‌شده» مهر و موم می‌کردند، نشانه‌هایی که می‌توانست چهره‌ی واقعی و خشونت‌بار نبردی را که سربازان شوروی به دل آن‌ شتافته بودند را آشکار کند. مقامات دولتی با ممنوعیت سخن گفتن علنیِ خانواده‌های داغ‌دیده درباره‌ی علت یا محل مرگ، بیش از پیش بر این پنهان‌کاری تأکید داشتند. همچنین این نکته‌ی مهم را باید در نظر داشت که هدف الکسیویچ از نوشتن این کتاب، بازگویی تاریخ جنگ نبود، بلکه ثبت واقعیتی دیگر بود؛ واقعیتی که با آن، اسطوره‌های قهرمانانه‌ای که برساخته‌ی مقامات و دستگاه پروپاگاندای دولتی بودند؛ فرو می‌ریختند و جای خود را به واقعیتی دیگر که عریان، دردناک و لبریز از رنج انسانی بودند، می‌دادند. کتاب به دنبال بازنمایی خودِ جنگ نبود، بلکه می‌خواست احساسات و آشفتگی‌های درونی‌ای که آن جنگ در دل انسان‌ها کاشته بود، را منتقل کند.[FOOTNOTE]
418	Normal	آیا الکسیویچ در این رمان دروغ بافته است؟
419	Normal	پرسشی که پس از انتشار «تابوت‌های رویین» به یک مناقشه بزرگ تبدیل شد این بود: آیا الکسیویچ برای تقویت نگاه ضدجنگ خود، در روایت‌های مردم دست برده است؟
420	Normal	نسخه‌ی اول کتاب که در سال ۱۹۹۰ منتشر شد، پاسخی صریح به تاریخ‌نگاری اقتدارگرای شوروی بود. الکسیویچ در یک حرکت آگاهانه، با نقل‌قولی بدبینانه از جرج برنارد شاو: «تاریخ دروغ خواهد گفت»، به خواننده هشدار داد که به روایت‌های رسمی اعتماد نکند. او هدف خود را نه «تاریخ خود جنگ»، بلکه «سرگذشت عواطف» و «داستانی واقعی» نامید که باید در تفسیری هنری، نه در اسناد خشک آماری، جستجو شود.
421	Normal	شالوده‌ی نسخه‌ی اولیه‌ی کتاب بر مفهوم «حقیقت‌های فردیِ چندگانه» (در روسی، سُویا پراودا) استوار بود؛ با این فرض که هر فرد، جهان را متفاوت از دیگران تجربه می‌کند و این تجربه معتبر است. این ایده را می‌توان در وجود یک کهنه‌سرباز گمنام یافت که گفت: «من حقیقت خودم را در یک کیسه‌ی پلاستیکی حمل می‌کردم» که اشاره‌ای بود به اینکه جسد تکه‌تکه‌‌شده‌ی دوستش را در خریطه‌ای پلاستیکی حمل کرده است. الکسیویچ این حقیقت را در برابر «حقیقت تو» (در روسی، واشا پراودا)  که منظور مخاطب آن کهنه‌سرباز است، قرار می‌دهد.[FOOTNOTE]
422	Normal	اما این چندآوایی ـ برداشت‌های متفاوت از حقیقت و چندگانگیِ حقیقت ـ به مذاق جامعه‌ای که تازه از شر پروپاگاندا خلاص شده بود، خوش نیامد. انتشار گزیده‌هایی از کتاب، موجی از «شور و خشم عمومی» را برانگیخت و منتقدان، اثر را «افترا‌آمیز» و «هم‌سرایی هیستریک» خواندند.
423	Normal	سرانجام، کار به دادگاه‌های بلاروس کشیده شد. گروهی از کهنه‌سربازان و «انجمن مادران سربازان کشته‌شده» علیه الکسیویچ به اتهام افترا اقامه‌ی دعوا کردند. اعتراض اصلی این بود که پسران‌شان در کتاب «بدون استثنا» به‌عنوان «ماشین‌های بی‌روح کُشتار»، «معتاد و متجاوز» و «غارت‌گر» تصویر شده‌اند. این مادران، که بسیاری هنوز میهن‌پرست بودند، اصرار داشتند پسران‌شان با افتخار برای وطن جان داده‌اند.
424	Normal	در طول محاکمه اکاترینا پلاتیتسینا، مادر یکی از افسران، چنین شهادت داد که الکسیویچ برای رسیدن به روایت دلخواه خود، «چند واقعیت را اضافه کرده» و بخش‌هایی را حذف کرده است. پلاتیتسینا خشمگینانه فریاد زد: «از تو متنفرم! من حقیقت وحشتناک تو را نمی‌خواهم. ما به آن نیاز نداریم!».[FOOTNOTE]
425	Normal	سربازان بازمانده‌ای چون اُلِگ لیاشنکو نیز احساس خیانت می‌کردند؛ زیرا در انتظار روایت‌هایی «شورانگیز و قهرمانانه» درباره‌ی خود بودند، اما حس می‌کردند به «گوشت چرخ‌کرده» بدل شده‌اند. لیاشنکو چنین شکایت کرد که الکسیویچ «روایت مرا کاملاً تحریف کرده، چیزهایی نوشته که من هرگز نگفته‌ام» و برداشت‌هایی را در کتاب آورده که موافق آن‌ها نیست.
426	Normal	با وجود دفاع الکسیویچ که شاکیان را «فریب‌خورده‌ی دولت» یا مورد استفاده‌ی سیاسی می‌دانست و پیروزی در دادگاه؛ فشارهای عمومی و قضایی بر محتوای کتاب تأثیری چشم‌گیر گذاشت.
427	Normal	ویرایش‌های بعدی «تابوت‌های رویین»، از جمله نسخه‌ی ۲۰۱۶ آن شاهد یک چرخش گفتمانی بود. الکسیویچ از موضع «چندگانگی حقیقت فردی» به سوی تأکید بر یک «حقیقت اخلاقی واحد» -محکومیت بی‌قید و شرط جنگ- تغییر مسیر داد. این تغییر را چنین می‌توان خلاصه کرد:
428	List Paragraph	حذفِ شروع بدبینانه: جمله‌ی آغازین «تاریخ دروغ خواهد گفت» حذف شد.
429	List Paragraph	سندمحوری: به‌جای آن، آمارهای جنگی و تاریخی روسیه افزوده شد که القا می‌کرد اعداد و اسناد، خود معیار حقیقت هستند.
430	List Paragraph	حذفِ استعاره‌ی اصلی: تصویر تکان‌دهنده‌ی پیکر تکه‌تکه‌ی دوستِ «شخصیت اصلیِ» کتاب که تکیه‌گاه اصلیِ مفهوم «حقیقت‌های فردی متعدد» بود، کوتاه یا حذف شد.
431	List Paragraph	افزودن سند دفاع: مهم‌تر از همه، یک فصل کامل با عنوان «پرونده‌ علیه تابوت‌های رویین: تاریخ در اسناد رسمی» اضافه شد. الکسیویچ با گنجاندن صورت‌جلسه‌ی دادگاه و تقویت موضع خود، کتاب را به منبعی «خودکفا» و معتبر بدل کرد که از رأی دادگاه برای مشروعیت بخشیدن به تفسیر هنری‌اش استفاده می‌کرد.
432	Normal	این نزاع نشان داد که در جنگ‌های بزرگ و مناقشه‌برانگیز، «حقیقت تاریخی» به میدانی برای نبرد بر سر «حافظه‌ی عاطفی» بدل می‌شود و تعریفِ حقیقت زیر سوال می‌رود.
433	Normal	او با بازنمایی تجربه‌ی پر مشقت سربازان بازگشته از جنگ و خانواده‌های آنان، افسانه‌های قهرمانانه‌ی ساخته و پرداخته‌شده‌ی رسمی را به چالش کشید و در نتیجه، با واکنش‌های تند و بحث‌برانگیزی روبه‌رو شد. منتقدان کتاب را «اثری افترا‌آمیز و خیالی» خواندند. این مناقشات عمومی و سرخوردگی‌های پس از آن، بخش مهمی از «گسست شرایط گفتمانیِ اواخر دوره‌ی شوروی» بود و به فروپاشی نهایی اتحاد جماهیر شوروی یاری رساند. [FOOTNOTE]
434	Normal	بازتاب‌ ادبی شخصیت‌ها به مثابه تاکتیک
435	Normal	الکسیویچ در «تابوت‌های رویین» تنها به گردآوری سرگذشت‌ها اکتفا نمی‌کند؛ او از یک تاکتیک ادبی عمیق‌تر استفاده می‌کند که جفری جونز آن را «بازتاب ادبی»[FOOTNOTE] می‌نامد. این تکنیک، که ریشه در پدیدارشناسی دارد، به شخصیت‌ها این امکان را می‌دهد تا با ارجاع به ادبیات روسیه و جهان، خودآگاهی و هویت‌های اجتماعی خود را در چارچوبِ یأس عمیق جنگ بازگو کنند. الکسیویچ آگاهانه اثر خود را «رمان آواها» می‌نامد؛ متنی یکپارچه که در آن نقل‌قول‌ها، شعرها، مقالات و تبلیغات ایدئولوژیک، همه به بن‌مایه‌ای واحد تبدیل می‌شوند و از حالت ارجاع ادبی صرف بیرون می‌شود.
436	Normal	تکنیک بازتاب ادبی در اینجا کارکرد دوگانه‌ای دارد:
437	List Paragraph	بنیان اسطوره‌سازی: ادبیات، ابزاری برای ساختن اسطوره‌های فرهنگی و ایدئولوژیک درباره‌ی جنگ است. نمونه‌‌های آن، قهرمانان سوسیالیستی استند.
438	List Paragraph	افشای دروغ: در مواجهه با تجربه‌ی وجودی جنگ، ادبیات چارچوب فکری را فراهم می‌کند تا دروغ بودن این اسطوره‌ها فاش شود.
439	Normal	این فرایند، کانون روایت را از تاریخ جنگ به سمت «سرگذشت عواطف» سوق می‌دهد و کشمکش‌های درونی سربازان و غیرنظامیان را نمایش می‌دهد.
440	Normal	این‌که چگونه گسست ایدئولوژیک در ذهن سربازان رقم خورد، خود حیرت‌آور است. یک سرباز توپخانه، در حالی که می‌توانست قهرمانان اساطیری شوروی چون واسیلی چاپایف یا پاول کرچاگین (نماد ارجحیت ایدئولوژی بر وجود فردی) را الگوی خویش قرار دهد؛ در عوض هاکلبری فین[FOOTNOTE] را که نماد استقلال اخلاقی و کشمکش میان وجدان فردی و قوانین اجتماعی است به عنوان قهرمان خود معرفی می‌کند. سرباز با انتخاب اخلاقی هاکلبری برای نجات برده‌ی فراری (جیم) و به جان خریدن محکومیت قانون، در واقع فروپاشی آرمان‌های سوسیالیستی را در ذهن خود نشان می‌دهد.
441	Normal	کارکرد تکنیک بازتاب ادبی حتی برای التیام تروما نیز استفاده می‌شود. پر واضح است که سربازان برگشته از جنگ، تروماهای عمیقی را تجربه کرده‌اند؛ چنانچه، یکی از سربازان برگشته از جنگ جایی در رمان به الکسیویچ می‌گوید:‌ «کسی که [با تو] صحبت می‌کند، من نیستم؛ بلکه دشواری‌های من است.»  [FOOTNOTE]به کارگیری این ترفند در «تابوت‌های رویین» این بعد التیام‌بخشی را نیز دارد. ستوان ارشدی که بینایی و پاهایش را در جنگ از دست داده، همیشه در خواب خود را شبیه به هولدن کالفید از «ناتور دشت» نوشته‌ی سلینجر می‌بیند؛ او می‌کوشد در میدان ماین بدود و به کودکانی که بی‌خبرند، هشدار دهد: «بایستید! آنجا ماین است!». این صحنه بازتاب رؤیای هولدن کالفیلد در جهانِ واقعی است که می‌خواست در لبه‌ی پرتگاه بایستد و کودکان را از سقوط نجات دهد. این پیوند ادبی، به رؤیای دردناک سرباز معنا و اثر هنری می‌بخشد.[FOOTNOTE]
442	Normal	الکسیویچ آگاهانه اثرش را در امتداد سنت غنی ادبی روسیه قرار می‌دهد. او با الهام از غول‌های ادبیات چون داستایوفسکی، دیدگاه انتقادی خود را تقویت می‌کند. او نقل‌قولی از داستایوفسکی می‌آورد که مردان نظامی را «بی‌اندیشه‌ترین مردم جهان» می‌خواند، در ضمن با تأکید بر اینکه «حقیقت از روسیه مهم‌تر است». با این ارجاعاتی، الکسیویچ موضع خویش را مشخص می‌کند: حقیقت بر میهن‌پرستیِ تحمیلی دولت مقدم است.[FOOTNOTE]
443	Normal	بازنمایی زنان در «تابوت‌های رویین»
444	Normal	جفری جونز، بازنمایی زنان در کتاب الکسیویچ را در سه سرنمون محوریِ متمایز اما مرتبط با هم صورت‌بندی می‌کند: «مادر ـ مامِ وطن»، «مادرِ سوگوار» و «زنِ سُست‌اخلاق در جنگ».[FOOTNOTE] این سرنمون‌ها عناصر حیاتیِ روایت کتاب‌اند و نیز بازتاب‌دهنده‌ی تحولات گفتمانی در جامعه‌ی شوروی در رابطه با جنگ شوروی ـ افغانستان هستند. فروپاشی ساختار اول و ظهور دو الگوی دیگر، نقش تعیین‌کننده‌ای در «فروپاشی شرایط گفتمانی اواخر دوره‌ی شوروی» داشت.
445	Normal	الگوی «مادرـ مام وطن» پس از جنگ جهانی دوم ـ که روس‌ها آن را جنگ میهنی بزرگ می‌نامیدند ـ وارد حافظه جمعی شد و مورد ستایش قرار می‌گرفت. این الگو اهمیت زیادی در فرهنگ روسیه داشته و ریشه در گذشته‌ی کشاورزی این کشور دارد و نیز نماد پیوند قوی میان مادران و پسران در فرهنگ روسی است. برای نسلی که به افغانستان فرستاده شد (متولدین میان دهه‌ی ۱۹۵۰ تا اواخر دهه‌ی ۱۹۶۰)، مامِ وطن (رودینا) مفهومی مقدس شمرده می‌شد و در متون رسمی همواره با حرف بزرگ نوشته می‌شد.
446	Normal	اما جنگ افغانستان این الگو را شکست. دلایل این فروپاشی را می‌توان چنین صورت‌بندی کرد:
447	List Paragraph	تناقض در ماهیت جنگ: در جنگ جهانی دوم، شوروی مورد تهاجم قرار گرفته بود؛ اما در افغانستان، شوروی خود مهاجم بود. این تضاد، فداکاری را بی‌توجیه می‌کرد.
448	List Paragraph	شکستن جاذبه عاطفی: دلبستگی به «رودینا» در میان سربازان چنان کاهش یافت که در افغانستان، آن‌ها از واژه‌ی ضعیف‌تر و بی‌قدرت‌تر «اتحاد» (سویوز) به جای آن استفاده می‌کردند.
449	List Paragraph	خیانت دولت: اوج این فروپاشی در احساس خیانت مادران مشهود است. مادری نقل می‌کند که پس از شنیدن سرزنش دیگران  با این مضمون که «اگر زیاد از میهن‌پرستی در گوشش نمی‌گفتی، حالا ]پسرت[ زنده بو»، به این نتیجه رسید: «از دولتی که او را به آنجا فرستاد، متنفرم». این جمله، پیوند حیاتی میان دولت و خانواده را برای همیشه گسست.
450	Normal	الکسیویچ با دوگانگی «مادر سوگوار» و «زن سُست‌اخلاق در جنگ» در تضاد با اسطوره‌ی شکست‌خورده‌ی «مادر ـ مام وطن»، هزینه‌های اخلاقی و انسانی جنگ را آشکار ساخت و با این کار، فساد نظام‌مندی را که سال‌ها تحت روایت رسمی پنهان شده بود، افشا کرد.[FOOTNOTE]
452	Normal	در عکس روی جلد نسخه انگلیسی سال ۱۹۹۲کتاب، ما ساختار «مادر- میهن» و همچنین ساختار «مادر سوگوار» را  می‌بینیم، که چارچوب کتاب را به دقت به تصویر می‌کشد. در پیش‌زمینه، مادری قرار دارد که معلوم است پسرش را در افغانستان از دست داده است. او دو عکس از پسرش را در دست دارد: یکی به عنوان سربازی جوان، خوش‌چهره، زنده و سالم، احتمالاً با آینده‌ای روشن در پیش‌رو، و دیگری عکسی از او که ظاهراً مرده است و آینده‌اش از کف رفته است.
453	Normal	از مادران سوگوار تا برچسب «زنان سست‌اخلاق»
454	Normal	جفری جونز نشان می‌دهد که «مادران سوگوار» و «زنان سست‌اخلاق در جنگ» دو سرنمون حیاتی دیگر در کتاب «تابوت‌های رویین» هستند که همچون مکمل الگوی فروپاشیده‌ی «مادر ـ مام وطن» عمل می‌کنند و در مجموع، فساد اخلاقی و هزینه‌ی انسانیِ جنگ را بر جامعه‌ی شوروی تحمیل کردند.
455	Normal	الگوی «مادرِ سوگوار» نماد رنج کسانی است که سنگین‌ترین بها را برای جنگ پرداختند. بیشتر مادران مصاحبه‌شونده در «تابوت‌های رویین»، مرگ پسران‌شان را نمی‌پذیرفتند، زیرا باور داشتند آن‌ها «برای هدفی ناحق» کشته شدند. رنج این مادران از درک تلخ این حقیقت سرچشمه می‌گرفت که مرگ عزیزان‌شان «بیهوده» و «بی‌معنا» بوده است؛ پرسش بی‌پاسخ و اصلی کتاب را نیز آن‌ها بارها تکرار می‌کنند: «آه، چرا؟ چرا؟ آیا کسی می‌تواند بگوید چرا؟».
456	Normal	تابوت‌های سربسته‌ی رویین، تبدیل به نمادی قدرتمند از پنهان‌کاری دولت و انکار واقعیت وحشتناک جنگ شدند. ناتوانی مادران در گشودن تابوت و دیدن فرزندشان، آن‌ها را از آیین نهایی خداحافظی محروم ساخت. این تجربه‌ی تلخ باعث شد برخی مانند «ماما ژورالوا» «چون دیوانه‌ها» با تابوت سخن بگویند و امید داشته باشند که تنها «یک جعبه‌ی فلزی» خالی را به خاک سپرده‌ باشند و پسرشان هنوز جایی زنده باشد.
457	Normal	اندوه این مادران اغلب به خشم شدید و آشکار علیه رهبران نظامی و دولت تبدیل می‌شد. گزارش‌ها از صحنه‌هایی حکایت دارند که مادران با حمله به پایگاه‌ها یا فرماندهان فریاد می‌زدند: «دستانت به خون پسرم آغشته است!».
458	Normal	حتی مادرانی که هنوز گرایش‌های میهن‌پرستانه داشتند، ناخواسته به شکاف در روایت رسمی کمک کردند. در جریان دادگاه الکسیویچ، مادرانی مانند کاترینا پلاتیتسینا از یک سو از شرافت پسران خود دفاع می‌کردند، اما همزمان عمق رنج خود را آشکار می‌ساختند و حقیقت الکسیویچ را «وحشتناک» می‌نامیدند. این تناقض نشان داد که در ورای هر دفاعی از افتخار، واقعیت دردناک جنگ همچنان بر روح آن‌ها حکمفرماست.
459	Normal	سوم. زن سست‌اخلاق در جنگ
460	Normal	سومین ساختار زنانه در «تابوت‌های رویین»، تصویر منفی «زنِ سست‌اخلاق در جنگ» است؛ کلیشه‌ای که بیش از هرچیز، ریشه در رفتار درنده‌خوی مردان نظامی، به ویژه افسران، داشت و مشروعیت اخلاقی مداخله‌ی نظامی شوروی را بیش از پیش تضعیف کرد.
461	Normal	زنان برای خدمت در افغانستان به دلایلی چون وظیفه میهنی، معاش دو برابر، یا میل به ماجراجویی حاضر می‌شدند، اما غالباً با بدگمانی و این باور رایج روبه‌رو می‌شدند که تنها برای تن‌فروشی آمده‌اند. این زنان به طور تحقیرآمیزی «چکیستکا» نامیده می‌شدند؛ اشاره‌ای تحقیرآمیز به این گمانه که «خود را برای چک» که واحد پولی مخصوص شوروی‌ها در افغانستان بود، می‌فروشند. این قضاوت‌ها بر محکومیت رفتار جنسی آنان متمرکز بود.
462	Normal	شهادت‌های کتاب از محیطی پر از سوءاستفاده پرده برمی‌دارد، به‌ویژه از سوی افسرانی که از قدرت خود سوءاستفاده می‌کردند. بسیاری از زنان برای در امان ماندن از آزارها، ناچار به پذیرفتن یک «حامی» یا «معشوق» که اغلب یک افسر بلندرتبه بود، می‌شدند. این وضعیت ناچار، کلیشه‌ی منفی در مورد آن‌ها را تقویت می‌کرد و زنان را در یک موقعیت «باخت ـ باخت» قرار می‌داد.
463	Normal	فراگیر شدن چنین وضعیتی، سبب شد تا شغل‌های دشوار اما مهم زنان مانند پرستاران و کارمندان غیرنظامی را کم‌اهمیت جلوه یابند. این وضعیت به‌صورت نمادین، فساد اخلاقی عمیق در نظام شوروی را برملا ساخت و آرمان قهرمانانه‌ی «مادر ـ مام وطن» را به زیر کشید و سبب شد تا این باور در افکار عمومی جا بیفتد که فساد در جنگ شوروی ـ افغانستان بسیار فراتر از آن چیزی است که تصور می‌شد.
